"Renewable quarterly electricity capacity and generation, quarterly data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains 4 tables, arranged vertically on top of each other and separated by a blank row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] is used to indicate data not available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units are specified in the table header or in the row label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUMULATIVE INSTALLED CAPACITY (MW) 
Co-firing with fossil fuels,579,460,678,716,828,599,792,874,658,402,421,347,126,69,70,72,33,37,28,25,36,36,57,55,51,15,5,47,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Animal Biomass (non-AD) [note 2] [note 6],167,161,143,156,159,154,154,148,178,141,144,180,166,167,144,151,159,161,132,162,170,171,142,165,171,165,141,173,174,166,141,168,172,163,130,169,168,169,145,178,177,161,142,167,163,165,132,156,165,,,
Anaerobic Digestion,18,24,32,44,47,52,60,78,98,117,130,150,160,167,181,205,229,244,259,291,329,352,374,429,508,518,551,580,647,654,662,669,687,698,705,707,731,729,747,743,735,724,742,737,765,778,854,859,805,,,
Plant Biomass [note 3] [note 6],352,421,414,428,433,467,456,415,"1,069",442,904,"1,633","1,797","2,761","2,188","2,087","2,218","3,055","3,563","4,248","4,352","4,411","4,384","5,445","5,616","4,962","3,462","4,707","5,907","4,878","4,798","4,339","4,763","5,662","5,897","6,814","5,954","6,108","6,051","7,193","7,128","6,760","6,093","6,870","7,130","6,586","5,994","7,376","6,711",,,
TOTAL,"6,249","5,253","6,757","7,922","8,075","7,984","7,698","11,455","11,002","8,134","9,508","12,604","12,313","13,222","10,797","16,882","18,333","13,165","13,381","19,643","21,745","19,883","18,005","23,731","23,540","19,718","19,291","20,442","25,278","23,447","22,578","27,577","28,592","24,666","24,730","32,008","31,188","26,529","28,933","32,932","41,015","29,715","29,236","34,775","34,952","27,232","23,990","36,005","38,202",,,
Non-biodegradable wastes [note 9],247,247,247,247,235,230,240,381,338,349,376,366,372,360,377,372,475,471,491,486,608,606,685,685,728,626,677,710,845,823,868,851,873,873,873,873,893,917,962,"1,021","1,140","1,106","1,070","1,032","1,149","1,122","1,131","1,158","1,125",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOAD FACTORS (%) [note 10],"2010 
1st quarter","2010 
2nd quarter","2010 
3rd quarter","2010 
4th quarter","2011 
1st quarter","2011 
2nd quarter","2011 
3rd quarter","2011 
4th quarter","2012 
1st quarter","2012 
2nd quarter","2012 
3rd quarter","2012 
4th quarter","2013 
1st quarter","2013 
2nd quarter","2013 
3rd quarter","2013 
4th quarter","2014 
1st quarter","2014 
2nd quarter","2014 
3rd quarter","2014 
4th quarter","2015 
1st quarter","2015 
2nd quarter","2015 
3rd quarter","2015 
4th quarter","2016 
1st quarter","2016 
2nd quarter","2016 
3rd quarter","2016 
4th quarter","2017 
1st quarter","2017 
2nd quarter","2017 
3rd quarter","2017 
4th quarter","2018 
1st quarter","2018 
2nd quarter","2018 
3rd quarter","2018 
4th quarter","2019 
1st quarter","2019 
2nd quarter","2019 
3rd quarter","2019 
4th quarter","2020 
1st quarter","2020 
2nd quarter","2020 
3rd quarter","2020 
4th quarter","2021 
1st quarter","2021 
2nd quarter","2021 
3rd quarter","2021
4th quarter","2022
1st quarter",,,
Onshore Wind,22.0,14.0,22.0,26.1,26.9,26.8,19.6,39.1,33.1,19.5,21.4,29.1,28.8,25.7,17.3,38.1,40.5,17.7,16.0,32.1,38.4,24.9,19.4,35.4,31.1,19.1,21.1,25.3,31.5,23.3,20.5,33.0,34.5,19.0,19.0,33.4,33.6,20.1,22.6,30.4,42.3,19.9,22.1,30.5,32.7,17.1,12.9,31.8,37.4,,,
Offshore Wind,32.7,21.2,31.4,37.2,33.4,34.6,31.0,50.0,34.2,32.0,29.8,43.7,40.7,34.6,24.7,50.4,54.4,24.4,23.9,47.6,46.9,33.6,30.6,51.2,46.3,29.3,31.9,38.6,44.5,32.9,30.5,53.9,50.2,28.0,28.8,49.5,47.8,30.8,35.3,48.5,61.2,32.6,35.7,53.6,49.9,26.9,26.1,49.8,49.0,,,
